"Data","Ultimo","Abertura","Maxima","Minima","Vol.","Var%"
"27.01.2021","33,59","32,73","34,00","32,55","25,08M","2,44%"
"26.01.2021","32,79","33,96","34,24","32,61","26,92M","-2,67%"
"22.01.2021","33,69","33,62","33,82","33,24","20,41M","-1,43%"
"21.01.2021","34,18","34,55","34,81","33,73","23,30M","-1,01%"
"20.01.2021","34,53","35,49","35,58","34,51","22,69M","-2,24%"
"19.01.2021","35,32","36,30","36,33","35,04","19,51M","-1,70%"
"18.01.2021","35,93","36,66","37,03","35,81","23,85M","-1,02%"
"15.01.2021","36,30","37,20","37,45","36,30","29,15M","-3,10%"
"14.01.2021","37,46","37,76","38,15","36,84","39,54M","-0,24%"
"13.01.2021","37,55","39,50","39,70","37,24","34,87M","-4,94%"
"12.01.2021","39,50","39,66","39,79","38,89","15,52M","0,92%"
"11.01.2021","39,14","39,55","39,90","38,80","16,88M","-1,63%"
"08.01.2021","39,79","39,85","40,56","39,29","16,24M","0,58%"
"07.01.2021","39,56","38,12","39,70","37,92","21,88M","4,13%"
"06.01.2021","37,99","37,53","38,73","37,38","20,57M","2,12%"
"05.01.2021","37,20","37,45","37,45","36,70","15,95M","-1,04%"
"04.01.2021","37,59","39,23","39,29","37,50","13,87M","-3,12%"
"30.12.2020","38,80","39,28","39,35","38,66","8,59M","-0,82%"
"29.12.2020","39,12","39,50","39,60","38,95","7,30M","-0,58%"
"28.12.2020","39,35","39,32","39,55","39,20","7,58M","1,10%"
"23.12.2020","38,92","38,57","39,18","38,27","9,18M","1,65%"
"22.12.2020","38,29","38,14","38,86","38,00","10,77M","1,32%"
"21.12.2020","37,79","38,11","38,48","37,67","18,72M","-3,35%"
"18.12.2020","39,10","39,29","39,63","38,90","12,47M","-0,74%"
"17.12.2020","39,39","39,37","39,77","38,91","11,42M","0,10%"
"16.12.2020","39,35","39,22","39,79","38,24","26,51M","0,92%"
"15.12.2020","38,99","38,80","39,50","38,71","15,25M","1,27%"
"14.12.2020","38,50","38,59","39,33","38,40","24,82M","0,33%"
"11.12.2020","38,37","37,29","38,61","37,06","24,97M","1,74%"
"10.12.2020","37,72","36,14","37,88","36,12","26,35M","5,20%"
"09.12.2020","35,85","36,51","36,79","35,83","12,86M","-1,37%"
"08.12.2020","36,35","36,41","37,47","35,95","18,97M","-0,11%"
"07.12.2020","36,39","35,70","37,16","35,50","24,02M","1,45%"
"04.12.2020","35,87","35,49","35,87","35,11","14,13M","2,10%"
"03.12.2020","35,13","34,88","35,77","34,77","21,57M","0,86%"
"02.12.2020","34,83","34,68","35,22","34,45","12,29M","0,43%"
"01.12.2020","34,68","34,43","35,26","34,24","19,38M","2,75%"
"30.11.2020","33,76","34,40","34,47","33,65","19,41M","-2,17%"
"27.11.2020","34,50","34,78","35,20","34,40","9,63M","-0,49%"
"26.11.2020","34,67","34,96","35,08","34,31","9,17M","-1,58%"
"25.11.2020","35,23","35,29","35,52","34,54","13,71M","-0,28%"
"24.11.2020","35,33","34,63","35,95","34,63","22,54M","2,67%"
"23.11.2020","34,42","34,45","34,96","34,21","17,51M","0,79%"
"20.11.2020","34,15","34,48","34,69","33,80","12,36M","-1,07%"
"19.11.2020","34,51","34,10","34,99","33,89","21,00M","0,99%"
"18.11.2020","34,18","33,97","34,54","33,68","20,02M","0,23%"
"17.11.2020","34,10","33,52","34,31","33,30","18,69M","1,47%"
"16.11.2020","33,60","33,27","33,95","33,16","23,21M","2,57%"
"13.11.2020","32,76","32,70","32,88","32,12","17,34M","0,98%"
"12.11.2020","32,44","33,69","33,83","32,10","25,00M","-4,19%"
"11.11.2020","33,86","34,03","34,47","33,07","27,13M","-0,61%"
"10.11.2020","34,07","32,48","34,51","32,44","42,04M","5,11%"
"09.11.2020","32,41","31,85","32,67","31,72","33,78M","7,25%"
"06.11.2020","30,22","30,23","30,39","29,92","12,86M","-0,65%"
"05.11.2020","30,42","30,38","30,86","30,17","18,69M","1,22%"
"04.11.2020","30,05","30,14","30,58","29,81","13,73M","0,73%"
"03.11.2020","29,84","30,15","30,49","29,64","17,15M","1,01%"
"30.10.2020","29,54","30,42","30,60","29,35","21,83M","-3,75%"
"29.10.2020","30,69","30,85","31,03","29,78","19,26M","-0,58%"
"28.10.2020","30,87","31,67","31,76","30,83","15,20M","-5,00%"
"27.10.2020","32,49","33,49","33,80","32,25","15,14M","-2,15%"
"26.10.2020","33,21","33,05","33,53","32,57","14,32M","-0,09%"
"23.10.2020","33,24","33,37","33,99","33,04","18,94M","-0,36%"
"22.10.2020","33,35","31,83","33,38","31,77","29,80M","4,34%"
"21.10.2020","31,97","31,66","32,19","31,52","16,09M","0,75%"
"20.10.2020","31,73","30,65","31,76","30,65","21,49M","4,61%"
"19.10.2020","30,33","30,15","30,90","30,04","15,53M","1,09%"
"16.10.2020","30,00","30,64","30,75","29,98","12,38M","-2,54%"
"15.10.2020","30,79","30,18","31,16","29,96","12,71M","0,68%"
"14.10.2020","30,58","30,84","31,25","30,58","10,15M","-0,64%"
"13.10.2020","30,78","30,81","31,15","30,41","10,74M","0,03%"
"09.10.2020","30,77","30,84","31,39","30,36","13,79M","-0,67%"
"08.10.2020","30,98","29,65","31,21","29,39","18,04M","4,83%"
"07.10.2020","29,55","29,94","30,17","29,47","12,37M","-0,73%"
"06.10.2020","29,77","30,24","30,53","29,62","10,61M","-0,66%"
"05.10.2020","29,96","29,64","30,11","29,08","12,50M","1,75%"
"02.10.2020","29,45","29,15","30,47","29,05","16,74M","-0,27%"
"01.10.2020","29,53","29,56","29,64","28,90","11,86M","0,57%"
"30.09.2020","29,36","29,73","29,85","29,21","13,90M","-0,47%"
"29.09.2020","29,50","30,19","30,41","29,49","18,14M","-2,46%"
"28.09.2020","30,24","30,43","31,49","29,86","30,23M","0,69%"
"25.09.2020","30,03","29,97","30,21","29,71","9,29M","-0,39%"
"24.09.2020","30,15","29,92","30,63","29,65","15,66M","0,80%"
"23.09.2020","29,92","30,58","30,67","29,81","12,63M","-2,08%"
"22.09.2020","30,55","30,58","31,40","30,41","10,54M","-0,19%"
"21.09.2020","30,61","30,44","30,86","30,14","13,30M","-1,47%"
"18.09.2020","31,07","31,67","31,74","30,88","15,81M","-2,52%"
"17.09.2020","31,87","31,53","32,01","31,42","10,11M","0,19%"
"16.09.2020","31,81","31,81","32,33","31,73","13,57M","0,31%"
"15.09.2020","31,71","32,31","32,31","31,59","11,48M","-1,14%"
"14.09.2020","32,08","31,94","32,30","31,42","10,94M","1,45%"
"11.09.2020","31,62","32,19","32,30","31,34","14,60M","-1,63%"
"10.09.2020","32,14","32,74","33,09","32,05","13,13M","-2,08%"
"09.09.2020","32,82","33,18","33,32","32,57","12,49M","-0,12%"
"08.09.2020","32,86","33,14","33,29","32,67","13,37M","-2,03%"
"04.09.2020","33,54","33,69","33,96","32,93","20,75M","0,53%"
"03.09.2020","33,37","32,79","34,37","32,71","29,72M","1,56%"
"02.09.2020","32,85","32,85","32,97","32,35","9,59M","0,12%"
"01.09.2020","32,81","32,75","33,19","32,53","12,27M","1,72%"
"31.08.2020","32,26","32,99","32,99","32,26","13,79M","-2,22%"
"28.08.2020","32,99","32,63","33,11","32,59","11,29M","1,95%"
"27.08.2020","32,36","32,12","33,04","31,97","15,75M","0,92%"
"26.08.2020","32,06","32,74","33,04","31,68","16,37M","-2,41%"
"25.08.2020","32,85","33,38","33,54","32,65","11,72M","-0,60%"
"24.08.2020","33,05","32,50","33,59","32,41","19,30M","2,89%"
"21.08.2020","32,12","31,68","32,25","31,52","11,48M","0,92%"
"20.08.2020","31,83","31,29","31,91","31,10","22,69M","0,09%"
"19.08.2020","31,80","32,02","32,14","31,70","10,32M","-0,46%"
"18.08.2020","31,95","32,07","32,14","31,58","14,41M","1,36%"
"17.08.2020","31,52","32,34","32,51","31,09","21,75M","-2,56%"
"14.08.2020","32,35","32,27","32,66","31,96","10,72M","0,33%"
"13.08.2020","32,24","33,04","33,53","32,22","14,65M","-2,01%"
"12.08.2020","32,90","33,14","33,55","32,36","17,87M","-0,53%"
"11.08.2020","33,08","33,73","34,01","33,05","13,93M","-1,45%"
"10.08.2020","33,56","33,26","33,73","32,90","9,67M","0,94%"
"07.08.2020","33,25","33,14","34,06","32,75","18,50M","-0,70%"
"06.08.2020","33,49","32,91","33,56","32,31","18,17M","3,06%"
"05.08.2020","32,49","32,96","33,12","32,07","14,06M","0,09%"
"04.08.2020","32,46","33,03","33,73","32,18","20,57M","-3,06%"
"03.08.2020","33,49","33,38","34,16","32,93","23,88M","2,29%"
"31.07.2020","32,73","34,02","34,09","32,73","20,51M","-3,51%"
"30.07.2020","33,92","34,24","34,65","33,65","22,79M","-3,20%"
"29.07.2020","35,05","34,49","35,05","34,27","13,00M","2,63%"
"28.07.2020","34,15","33,83","34,88","33,68","16,91M","0,34%"
"27.07.2020","34,03","32,85","34,19","32,70","23,65M","2,83%"
"24.07.2020","33,10","33,14","33,75","32,80","16,85M","-1,16%"
"23.07.2020","33,49","34,37","34,37","33,35","14,05M","-2,41%"
"22.07.2020","34,31","34,75","34,79","33,84","13,56M","-0,82%"
"21.07.2020","34,60","34,85","35,29","34,38","18,98M","0,48%"
"20.07.2020","34,43","34,60","34,78","33,99","15,71M","-0,39%"
"17.07.2020","34,57","33,63","34,57","33,60","16,76M","3,08%"
"16.07.2020","33,53","33,54","33,69","33,22","10,02M","-0,84%"
"15.07.2020","33,82","33,83","34,19","33,52","14,62M","0,99%"
"14.07.2020","33,49","32,98","33,54","32,66","14,23M","1,63%"
"13.07.2020","32,95","33,58","33,91","32,95","13,91M","-1,00%"
"10.07.2020","33,28","33,04","33,48","32,71","13,96M","0,53%"
"09.07.2020","33,11","33,32","33,46","32,96","11,14M","-0,38%"
"08.07.2020","33,23","32,86","33,34","32,68","17,59M","2,43%"
"07.07.2020","32,44","33,44","33,50","32,44","22,95M","-4,01%"
"06.07.2020","33,80","33,50","34,11","33,21","18,94M","3,49%"
"03.07.2020","32,66","32,29","32,66","31,86","8,10M","1,03%"
"02.07.2020","32,33","32,78","33,38","32,17","19,81M","0,27%"
"01.07.2020","32,24","31,60","32,43","31,37","16,91M","2,86%"
"30.06.2020","31,34","32,37","32,38","31,21","24,79M","-3,86%"
"29.06.2020","32,60","31,36","32,60","31,14","18,09M","5,09%"
"26.06.2020","31,02","31,83","32,05","31,02","14,60M","-3,60%"
"25.06.2020","32,18","31,53","32,22","31,27","18,82M","2,45%"
"24.06.2020","31,41","32,50","32,75","31,11","24,26M","-3,91%"
"23.06.2020","32,69","32,95","33,18","32,27","16,13M","0,87%"
"22.06.2020","32,40","33,35","33,55","32,17","15,05M","-2,06%"
"19.06.2020","33,09","34,02","34,24","33,05","20,12M","-1,34%"
"18.06.2020","33,53","33,32","34,25","32,95","18,81M","-0,29%"
"17.06.2020","33,63","32,60","33,89","32,52","18,84M","2,99%"
"16.06.2020","32,66","33,63","33,80","32,27","23,07M","1,30%"
"15.06.2020","32,24","31,19","32,48","30,90","33,36M","-0,84%"
"12.06.2020","32,51","32,17","33,03","31,98","28,80M","-2,51%"
"10.06.2020","33,35","35,44","35,49","33,35","26,99M","-4,41%"
"09.06.2020","34,89","34,65","36,15","34,24","28,51M","-1,65%"
"08.06.2020","35,47","34,92","35,88","34,61","22,10M","3,38%"
"05.06.2020","34,31","36,47","37,21","34,13","35,29M","0,74%"
"04.06.2020","34,06","33,56","34,67","32,68","23,71M","0,55%"
"03.06.2020","33,88","33,60","34,12","32,99","29,29M","5,88%"
"02.06.2020","31,99","31,78","32,07","31,47","15,53M","3,21%"
"01.06.2020","31,00","30,00","31,34","29,79","21,94M","3,11%"
"29.05.2020","30,06","29,73","30,07","29,00","26,79M","0,16%"
"28.05.2020","30,02","29,84","30,67","29,45","20,58M","-0,36%"
"27.05.2020","30,12","30,83","30,83","29,73","19,09M","0,36%"
"26.05.2020","30,02","31,68","32,10","29,47","30,74M","-2,25%"
"25.05.2020","30,71","29,25","30,71","29,05","31,65M","10,49%"
"22.05.2020","27,79","28,13","28,42","27,21","25,95M","-2,56%"
"21.05.2020","28,52","26,94","28,55","26,79","30,35M","7,06%"
"20.05.2020","26,64","26,32","26,94","26,10","22,69M","2,51%"
"19.05.2020","25,99","26,57","27,08","25,99","16,49M","-2,70%"
"18.05.2020","26,71","26,45","27,08","25,98","18,63M","4,78%"
"15.05.2020","25,49","25,83","26,40","25,19","23,31M","-1,88%"
"14.05.2020","25,98","24,37","26,13","24,13","36,08M","4,31%"
"13.05.2020","24,91","25,98","26,17","24,60","26,18M","-2,89%"
"12.05.2020","25,65","26,75","26,86","25,60","23,76M","-3,52%"
"11.05.2020","26,58","26,22","27,42","26,13","17,16M","0,63%"
"08.05.2020","26,42","26,42","27,01","26,13","17,47M","3,20%"
"07.05.2020","25,60","26,75","26,76","25,41","26,28M","-2,70%"
"06.05.2020","26,31","27,26","27,42","26,08","20,06M","-2,91%"
"05.05.2020","27,10","27,31","27,83","26,87","15,70M","0,14%"
"04.05.2020","27,06","26,68","27,06","26,31","16,48M","-2,60%"
"30.04.2020","27,78","27,60","28,06","27,15","23,77M","-3,59%"
