,Date,Close,Open,High,Low,Volume,Var%
0,2009-01-06,725.17,726.66,731.68,718.29,0,"1,58%"
1,2009-01-07,716.29,724.97,724.97,708.55,0,"-1,22%"
2,2009-01-08,731.96,716.30,731.96,706.89,0,"2,19%"
3,2009-01-09,721.27,731.27,733.81,718.88,0,"-1,46%"
4,2009-01-12,707.01,721.34,721.86,704.93,0,"-1,98%"
5,2009-01-13,711.65,706.69,722.19,699.12,0,"0,66%"
6,2009-01-14,692.20,711.53,711.72,687.34,0,"-2,73%"
7,2009-01-15,709.44,692.76,709.44,680.81,0,"2,49%"
8,2009-01-16,719.43,709.45,719.50,705.23,0,"1,41%"
9,2009-01-19,701.88,719.45,720.25,700.11,0,"-2,44%"
10,2009-01-20,688.05,702.11,706.72,685.45,0,"-1,97%"
11,2009-01-21,695.27,688.33,696.84,683.28,0,"1,05%"
12,2009-01-22,689.32,695.27,700.32,677.55,0,"-0,86%"
13,2009-01-23,688.75,689.32,693.78,670.02,0,"-0,08%"
14,2009-01-26,689.17,689.02,697.21,682.63,0,"0,06%"
15,2009-01-27,695.81,689.36,698.19,686.39,0,"0,96%"
16,2009-01-28,698.38,696.01,709.50,695.48,0,"0,37%"
17,2009-01-29,692.40,698.22,698.56,688.22,0,"-0,86%"
18,2009-01-30,696.13,692.10,703.44,686.28,0,"0,54%"
19,2009-02-02,681.83,695.93,695.93,681.83,0,"-2,05%"
20,2009-02-03,695.07,681.65,695.69,679.12,0,"1,94%"
21,2009-02-04,691.91,694.96,709.32,688.28,0,"-0,45%"
22,2009-02-05,698.87,691.91,702.90,684.16,0,"1,01%"
23,2009-02-06,714.17,699.04,714.55,696.23,0,"2,19%"
24,2009-02-09,701.51,713.46,713.46,701.18,0,"-1,77%"
25,2009-02-10,692.37,701.86,707.56,686.06,0,"-1,30%"
26,2009-02-11,697.09,692.56,703.38,688.13,0,"0,68%"
27,2009-02-12,696.40,695.89,703.34,686.71,0,"-0,10%"
28,2009-02-13,707.32,697.18,710.27,697.18,0,"1,57%"
29,2009-02-16,708.59,707.25,708.59,696.73,0,"0,18%"
30,2009-02-17,684.05,708.49,708.49,684.05,0,"-3,46%"
31,2009-02-18,690.64,684.03,691.27,683.03,0,"0,96%"
32,2009-02-19,690.45,690.68,695.20,684.48,0,"-0,03%"
33,2009-02-20,687.20,690.03,692.82,675.47,0,"-0,47%"
34,2009-02-25,687.04,687.20,698.40,676.47,0,"-0,02%"
35,2009-02-26,686.49,687.62,699.01,685.91,0,"-0,08%"
36,2009-02-27,685.76,686.49,690.17,673.65,0,"-0,11%"
37,2009-03-02,660.09,685.76,685.76,656.84,0,"-3,74%"
38,2009-03-03,658.82,660.48,665.64,654.54,0,"-0,19%"
39,2009-03-04,669.61,659.26,671.64,659.26,0,"1,64%"
40,2009-03-05,659.83,669.59,669.80,657.18,0,"-1,46%"
41,2009-03-06,665.41,659.50,674.07,659.50,0,"0,85%"
42,2009-03-09,656.51,665.60,668.16,653.43,0,"-1,34%"
43,2009-03-10,690.03,656.52,690.03,656.52,0,"5,11%"
44,2009-03-11,693.73,690.12,698.93,690.12,0,"0,54%"
45,2009-03-12,706.92,694.19,707.84,688.73,0,"1,90%"
46,2009-03-13,713.72,707.15,717.92,707.15,0,"0,96%"
