,Date,Close,Open,High,Low,Volume,Var%
0,2005-01-04,996.03,996.03,996.03,996.03,0,"-1,41%"
1,2005-01-05,978.39,978.39,978.39,978.39,0,"-1,77%"
2,2005-01-06,962.94,962.94,962.94,962.94,0,"-1,58%"
3,2005-01-07,962.60,962.60,962.60,962.60,0,"-0,04%"
4,2005-01-10,954.51,954.51,954.51,954.51,0,"-0,84%"
5,2005-01-11,948.01,948.01,948.01,948.01,0,"-0,68%"
6,2005-01-12,936.62,936.62,936.62,936.62,0,"-1,20%"
7,2005-01-13,951.03,951.03,951.03,951.03,0,"1,54%"
8,2005-01-14,948.35,948.35,948.35,948.35,0,"-0,28%"
9,2005-01-17,946.95,946.95,946.95,946.95,0,"-0,15%"
10,2005-01-18,957.27,957.27,957.27,957.27,0,"1,09%"
11,2005-01-19,974.08,974.08,974.08,974.08,0,"1,76%"
12,2005-01-20,947.05,947.05,947.05,947.05,0,"-2,77%"
13,2005-01-21,937.13,937.13,937.13,937.13,0,"-1,05%"
14,2005-01-24,948.08,948.08,948.08,948.08,0,"1,17%"
15,2005-01-26,944.31,944.31,944.31,944.31,0,"-0,40%"
16,2005-01-27,939.73,939.73,939.73,939.73,0,"-0,49%"
17,2005-01-28,938.14,938.14,938.14,938.14,0,"-0,17%"
18,2005-01-31,963.55,963.55,963.55,963.55,0,"2,71%"
19,2005-02-01,971.40,971.40,971.40,971.40,0,"0,81%"
20,2005-02-02,1000.46,1000.46,1000.46,1000.46,0,"2,99%"
21,2005-02-03,1045.70,1045.70,1045.70,1045.70,0,"4,52%"
22,2005-02-04,1099.17,1099.17,1099.17,1099.17,0,"5,11%"
23,2005-02-09,1094.91,1094.91,1094.91,1094.91,0,"-0,39%"
24,2005-02-10,1084.45,1084.45,1084.45,1084.45,0,"-0,96%"
25,2005-02-11,1086.32,1086.32,1086.32,1086.32,0,"0,17%"
26,2005-02-14,1116.38,1116.38,1116.38,1116.38,0,"2,77%"
27,2005-02-15,1137.55,1137.55,1137.55,1137.55,0,"1,90%"
28,2005-02-16,1113.05,1113.05,1113.05,1113.05,0,"-2,15%"
29,2005-02-17,1127.04,1127.04,1127.04,1127.04,0,"1,26%"
30,2005-02-18,1109.91,1109.91,1109.91,1109.91,0,"-1,52%"
31,2005-02-21,1085.60,1085.60,1085.60,1085.60,0,"-2,19%"
32,2005-02-22,1096.00,1096.00,1096.00,1096.00,0,"0,96%"
33,2005-02-23,1092.62,1092.62,1092.62,1092.62,0,"-0,31%"
34,2005-02-24,1141.57,1141.57,1141.57,1141.57,0,"4,48%"
35,2005-02-25,1137.76,1137.76,1137.76,1137.76,0,"-0,33%"
36,2005-02-28,1118.77,1118.77,1118.77,1118.77,0,"-1,67%"
37,2005-03-01,1128.12,1128.12,1128.12,1128.12,0,"0,84%"
38,2005-03-02,1132.34,1132.34,1132.34,1132.34,0,"0,37%"
39,2005-03-03,1162.93,1162.93,1162.93,1162.93,0,"2,70%"
40,2005-03-04,1186.27,1186.27,1186.27,1186.27,0,"2,01%"
41,2005-03-07,1204.41,1204.41,1204.41,1204.41,0,"1,53%"
42,2005-03-08,1191.15,1191.15,1191.15,1191.15,0,"-1,10%"
43,2005-03-09,1171.33,1171.33,1171.33,1171.33,0,"-1,66%"
44,2005-03-10,1170.68,1170.68,1170.68,1170.68,0,"-0,06%"
45,2005-03-11,1162.70,1162.70,1162.70,1162.70,0,"-0,68%"
46,2005-03-14,1150.15,1150.15,1150.15,1150.15,0,"-1,08%"
47,2005-03-15,1138.52,1138.52,1138.52,1138.52,0,"-1,01%"
