"Data","Ultimo","Abertura","Maxima","Minima","Vol.","Var%"
"02.03.2021","25,77","24,33","26,31","23,93","66,48M","4,04%"
"01.03.2021","24,77","25,90","25,97","24,77","45,13M","-3,05%"
"26.02.2021","25,55","26,20","26,39","25,51","48,30M","-2,03%"
"25.02.2021","26,08","26,90","27,06","25,98","40,97M","-2,87%"
"24.02.2021","26,85","27,43","27,52","26,61","35,65M","-1,47%"
"23.02.2021","27,25","25,91","27,43","25,85","76,46M","6,40%"
"22.02.2021","25,61","26,55","26,61","25,53","86,49M","-7,28%"
"19.02.2021","27,62","27,89","28,20","27,34","26,92M","-1,04%"
"18.02.2021","27,91","27,92","28,50","27,81","49,32M","-0,71%"
"17.02.2021","28,11","27,80","28,28","27,64","24,64M","1,26%"
"12.02.2021","27,76","27,53","28,10","27,40","24,87M","0,25%"
"11.02.2021","27,69","27,99","28,13","27,50","22,40M","0,00%"
"10.02.2021","27,69","27,90","28,19","27,38","28,66M","-0,72%"
"09.02.2021","27,89","27,49","28,41","27,23","37,76M","1,20%"
"08.02.2021","27,56","28,00","28,20","27,51","28,94M","-1,85%"
"05.02.2021","28,08","28,31","28,45","27,89","39,29M","-0,43%"
"04.02.2021","28,20","28,53","28,56","27,88","65,45M","-0,42%"
"03.02.2021","28,32","28,76","28,90","28,21","41,44M","-0,49%"
"02.02.2021","28,46","29,08","29,30","28,00","100,33M","-2,13%"
"01.02.2021","29,08","29,00","29,42","28,74","46,37M","2,61%"
"29.01.2021","28,34","29,22","29,55","28,29","46,31M","-3,57%"
"28.01.2021","29,39","28,29","29,63","28,23","52,03M","4,11%"
"27.01.2021","28,23","28,11","28,99","27,86","42,97M","-0,07%"
"26.01.2021","28,25","28,99","29,85","28,14","50,99M","-3,48%"
"22.01.2021","29,27","29,25","29,47","28,98","36,80M","-2,14%"
"21.01.2021","29,91","30,32","30,46","29,65","34,67M","-1,35%"
"20.01.2021","30,32","31,05","31,10","30,11","28,99M","-1,65%"
"19.01.2021","30,83","31,49","31,61","30,55","27,21M","-1,19%"
"18.01.2021","31,20","31,66","31,93","31,14","18,92M","-0,51%"
"15.01.2021","31,36","32,05","32,39","31,35","37,76M","-3,77%"
"14.01.2021","32,59","32,02","32,94","31,67","28,22M","2,97%"
"13.01.2021","31,65","32,18","32,53","31,26","42,72M","-1,65%"
"12.01.2021","32,18","32,18","32,45","32,02","33,09M","0,31%"
"11.01.2021","32,08","32,47","32,70","31,72","31,56M","-2,25%"
"08.01.2021","32,82","32,93","33,44","32,43","52,53M","-0,03%"
"07.01.2021","32,83","31,65","33,06","31,50","46,13M","4,06%"
"06.01.2021","31,55","30,98","32,06","30,79","43,06M","2,77%"
"05.01.2021","30,70","30,73","31,06","30,17","28,25M","-0,65%"
"04.01.2021","30,90","31,98","31,99","30,84","31,35M","-2,26%"
"30.12.2020","31,62","32,18","32,31","31,62","25,64M","-1,46%"
"29.12.2020","32,08","32,25","32,37","31,91","16,38M","-0,22%"
"28.12.2020","32,15","32,20","32,41","31,99","15,44M","0,72%"
"23.12.2020","31,92","31,31","32,03","31,26","19,96M","2,21%"
"22.12.2020","31,24","31,16","31,63","31,14","19,66M","0,48%"
"21.12.2020","31,09","31,04","31,49","30,90","26,01M","-1,77%"
"18.12.2020","31,64","31,70","32,10","31,50","31,71M","-0,16%"
"17.12.2020","31,69","31,87","32,13","31,56","17,86M","-0,13%"
"16.12.2020","31,73","31,23","32,16","31,01","41,21M","1,89%"
"15.12.2020","31,15","30,96","31,39","30,92","25,05M","0,91%"
"14.12.2020","30,87","31,46","31,62","30,87","26,75M","-1,34%"
"11.12.2020","31,29","31,16","31,47","30,80","24,01M","-0,59%"
"10.12.2020","31,47","30,68","31,64","30,68","50,47M","3,31%"
"09.12.2020","30,46","30,31","30,66","30,21","31,58M","0,59%"
"08.12.2020","30,28","30,36","31,05","30,11","27,83M","-0,26%"
"07.12.2020","30,36","30,17","30,98","29,95","30,66M","0,59%"
"04.12.2020","30,18","30,14","30,33","29,58","35,10M","1,00%"
"03.12.2020","29,89","30,06","30,80","29,83","39,89M","-0,07%"
"02.12.2020","29,91","29,85","30,16","29,37","32,15M","0,77%"
"01.12.2020","29,68","28,98","30,39","28,87","51,36M","4,17%"
"30.11.2020","28,49","28,90","29,13","28,49","59,89M","-1,38%"
"27.11.2020","28,89","28,98","29,72","28,83","44,15M","0,77%"
"26.11.2020","28,67","29,22","29,27","28,55","30,68M","-2,11%"
"25.11.2020","29,29","29,55","29,72","28,86","42,23M","-1,18%"
"24.11.2020","29,64","29,03","30,10","29,03","47,66M","2,80%"
"23.11.2020","28,83","28,78","29,14","28,66","27,58M","1,23%"
"20.11.2020","28,48","28,65","28,91","28,32","18,24M","-0,90%"
"19.11.2020","28,74","28,83","29,33","28,60","26,62M","0,14%"
"18.11.2020","28,70","29,36","29,50","28,64","41,35M","-2,44%"
"17.11.2020","29,42","29,30","29,54","28,83","40,60M","0,07%"
"16.11.2020","29,40","28,95","29,52","28,83","54,01M","3,51%"
"13.11.2020","28,40","28,10","28,53","27,92","36,85M","1,90%"
"12.11.2020","27,87","28,35","28,78","27,52","46,07M","-2,44%"
"11.11.2020","28,57","28,69","28,93","28,14","61,52M","-0,83%"
"10.11.2020","28,81","27,58","29,08","27,58","85,15M","4,52%"
"09.11.2020","27,56","26,67","27,95","26,67","100,11M","8,10%"
"06.11.2020","25,50","25,29","25,76","25,20","31,83M","-0,12%"
"05.11.2020","25,53","25,45","25,88","25,35","44,13M","2,36%"
"04.11.2020","24,94","25,44","25,68","24,81","96,99M","3,99%"
"03.11.2020","23,98","23,84","24,26","23,65","37,44M","2,45%"
"30.10.2020","23,41","23,58","23,85","23,16","38,99M","-1,76%"
"29.10.2020","23,83","23,51","23,96","22,97","42,75M","0,50%"
"28.10.2020","23,71","24,17","24,34","23,66","38,40M","-4,46%"
"27.10.2020","24,81","26,02","26,09","24,61","46,80M","-2,85%"
"26.10.2020","25,54","25,22","25,78","25,08","32,01M","0,71%"
"23.10.2020","25,36","25,82","26,22","25,33","50,33M","-1,28%"
"22.10.2020","25,69","24,49","25,84","24,47","66,12M","5,14%"
"21.10.2020","24,43","24,18","24,86","23,99","37,94M","0,91%"
"20.10.2020","24,21","23,45","24,32","23,43","45,53M","3,98%"
"19.10.2020","23,29","23,18","23,87","22,87","38,17M","1,08%"
"16.10.2020","23,04","23,34","23,38","23,02","21,15M","-1,62%"
"15.10.2020","23,42","23,39","23,66","23,19","21,67M","-0,89%"
"14.10.2020","23,63","23,82","23,89","23,59","21,76M","-0,29%"
"13.10.2020","23,70","23,90","24,05","23,55","30,72M","-0,96%"
"09.10.2020","23,92","23,83","24,53","23,52","48,82M","-0,29%"
"08.10.2020","23,99","22,65","24,20","22,53","62,88M","6,04%"
"07.10.2020","22,63","22,86","22,93","22,50","22,68M","-0,74%"
"06.10.2020","22,80","23,02","23,31","22,64","21,00M","0,18%"
"05.10.2020","22,76","22,65","22,94","22,27","22,69M","1,06%"
"02.10.2020","22,52","22,29","23,25","22,27","35,13M","0,31%"
"01.10.2020","22,45","22,48","22,53","22,11","20,28M","0,16%"
"30.09.2020","22,41","22,49","22,60","22,28","22,15M","0,45%"
"29.09.2020","22,31","22,81","22,82","22,22","26,96M","-2,18%"
"28.09.2020","22,81","23,16","23,81","22,49","58,11M","-0,04%"
