"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.02.2021","5.289,74","5.253,77","5.336,14","5.247,88","-","0,70%"
"29.01.2021","5.252,96","5.413,37","5.413,37","5.241,78","-","-2,97%"
"28.01.2021","5.413,88","5.283,99","5.438,49","5.258,68","-","2,47%"
"27.01.2021","5.283,41","5.329,65","5.376,42","5.260,86","-","-0,87%"
"26.01.2021","5.329,66","5.326,31","5.450,65","5.310,15","-","0,09%"
"22.01.2021","5.324,99","5.372,03","5.372,03","5.282,85","-","-0,89%"
"21.01.2021","5.372,56","5.445,50","5.461,60","5.328,43","-","-1,34%"
"20.01.2021","5.445,56","5.416,87","5.481,22","5.385,10","-","0,55%"
"19.01.2021","5.415,64","5.454,95","5.500,99","5.377,52","-","-0,72%"
"18.01.2021","5.454,89","5.387,96","5.503,50","5.387,96","-","1,24%"
"15.01.2021","5.387,95","5.423,47","5.423,47","5.337,91","-","-0,66%"
"14.01.2021","5.423,52","5.369,26","5.444,93","5.369,25","-","1,01%"
"13.01.2021","5.369,25","5.426,71","5.427,95","5.317,12","-","-1,05%"
"12.01.2021","5.426,08","5.327,06","5.431,33","5.299,87","-","1,86%"
"11.01.2021","5.327,06","5.365,78","5.396,01","5.285,76","-","-0,73%"
"08.01.2021","5.365,99","5.073,78","5.423,10","5.073,78","-","5,76%"
"07.01.2021","5.073,70","5.067,85","5.123,99","5.030,04","-","0,12%"
"06.01.2021","5.067,82","5.238,48","5.242,11","5.067,78","-","-3,26%"
"05.01.2021","5.238,38","5.267,00","5.275,70","5.160,88","-","-0,54%"
"04.01.2021","5.267,06","5.321,24","5.375,06","5.223,25","-","-1,02%"
"30.12.2020","5.321,24","5.357,96","5.416,08","5.315,97","-","-0,68%"
"29.12.2020","5.357,93","5.322,46","5.371,35","5.314,78","-","0,67%"
"28.12.2020","5.322,32","5.261,43","5.330,88","5.226,13","-","1,15%"
"23.12.2020","5.261,63","5.238,56","5.288,26","5.237,97","-","0,44%"
"22.12.2020","5.238,56","5.219,43","5.273,99","5.207,81","-","0,37%"
"21.12.2020","5.219,17","5.297,59","5.297,59","5.122,89","-","-1,48%"
"18.12.2020","5.297,77","5.329,45","5.371,30","5.269,93","-","-0,61%"
"17.12.2020","5.330,26","5.330,32","5.351,49","5.298,43","-","0,00%"
"16.12.2020","5.330,07","5.248,79","5.336,38","5.229,02","-","1,55%"
"15.12.2020","5.248,72","5.173,03","5.251,24","5.141,28","-","1,48%"
"14.12.2020","5.172,13","5.158,40","5.199,55","5.133,06","-","0,27%"
"11.12.2020","5.158,40","5.178,13","5.179,42","5.115,99","-","-0,38%"
