,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
0,0,2009-01-06,725.17,726.66,731.68,718.29,0,"1,58%",0.0
1,1,2009-01-07,716.29,724.97,724.97,708.55,0,"-1,22%",-0.012245404534041882
2,2,2009-01-08,731.96,716.3,731.96,706.89,0,"2,19%",0.021876614540815353
3,3,2009-01-09,721.27,731.27,733.81,718.88,0,"-1,46%",-0.014604623429477215
4,4,2009-01-12,707.01,721.34,721.86,704.93,0,"-1,98%",-0.019770681858062744
5,5,2009-01-13,711.65,706.69,722.19,699.12,0,"0,66%",0.006562849041074514
6,6,2009-01-14,692.2,711.53,711.72,687.34,0,"-2,73%",-0.027330851182341576
7,7,2009-01-15,709.44,692.76,709.44,680.81,0,"2,49%",0.0249060969799757
8,8,2009-01-16,719.43,709.45,719.5,705.23,0,"1,41%",0.014081529341638088
9,9,2009-01-19,701.88,719.45,720.25,700.11,0,"-2,44%",-0.024394312873482704
10,10,2009-01-20,688.05,702.11,706.72,685.45,0,"-1,97%",-0.019704222679138184
11,11,2009-01-21,695.27,688.33,696.84,683.28,0,"1,05%",0.010493423789739609
12,12,2009-01-22,689.32,695.27,700.32,677.55,0,"-0,86%",-0.008557826280593872
13,13,2009-01-23,688.75,689.32,693.78,670.02,0,"-0,08%",-0.0008269018726423383
14,14,2009-01-26,689.17,689.02,697.21,682.63,0,"0,06%",0.0006098003359511495
15,15,2009-01-27,695.81,689.36,698.19,686.39,0,"0,96%",0.009634777903556824
16,16,2009-01-28,698.38,696.01,709.5,695.48,0,"0,37%",0.003693537088111043
17,17,2009-01-29,692.4,698.22,698.56,688.22,0,"-0,86%",-0.008562673814594746
18,18,2009-01-30,696.13,692.1,703.44,686.28,0,"0,54%",0.005387059412896633
19,19,2009-02-02,681.83,695.93,695.93,681.83,0,"-2,05%",-0.020542139187455177
20,20,2009-02-03,695.07,681.65,695.69,679.12,0,"1,94%",0.01941833086311817
21,21,2009-02-04,691.91,694.96,709.32,688.28,0,"-0,45%",-0.004546304699033499
22,22,2009-02-05,698.87,691.91,702.9,684.16,0,"1,01%",0.010059111751616001
23,23,2009-02-06,714.17,699.04,714.55,696.23,0,"2,19%",0.0218924842774868
24,24,2009-02-09,701.51,713.46,713.46,701.18,0,"-1,77%",-0.017726872116327286
25,25,2009-02-10,692.37,701.86,707.56,686.06,0,"-1,30%",-0.013029037043452263
26,26,2009-02-11,697.09,692.56,703.38,688.13,0,"0,68%",0.0068171643652021885
27,27,2009-02-12,696.4,695.89,703.34,686.71,0,"-0,10%",-0.0009898291900753975
28,28,2009-02-13,707.32,697.18,710.27,697.18,0,"1,57%",0.015680642798542976
29,29,2009-02-16,708.59,707.25,708.59,696.73,0,"0,18%",0.0017955098301172256
30,30,2009-02-17,684.05,708.49,708.49,684.05,0,"-3,46%",-0.034632157534360886
31,31,2009-02-18,690.64,684.03,691.27,683.03,0,"0,96%",0.009633799083530903
32,32,2009-02-19,690.45,690.68,695.2,684.48,0,"-0,03%",-0.0002751071588136256
33,33,2009-02-20,687.2,690.03,692.82,675.47,0,"-0,47%",-0.00470707518979907
34,34,2009-02-25,687.04,687.2,698.4,676.47,0,"-0,02%",-0.00023282886832021177
35,35,2009-02-26,686.49,687.62,699.01,685.91,0,"-0,08%",-0.0008005356066860259
36,36,2009-02-27,685.76,686.49,690.17,673.65,0,"-0,11%",-0.001063380390405655
37,37,2009-03-02,660.09,685.76,685.76,656.84,0,"-3,74%",-0.037432920187711716
38,38,2009-03-03,658.82,660.48,665.64,654.54,0,"-0,19%",-0.0019239800749346614
39,39,2009-03-04,669.61,659.26,671.64,659.26,0,"1,64%",0.0163777656853199
40,40,2009-03-05,659.83,669.59,669.8,657.18,0,"-1,46%",-0.014605516567826271
