,Unnamed: 0,Date,Close,Open,High,Low,Volume,Var%,Var
0,0,2005-01-04,996.03,996.03,996.03,996.03,0,"-1,41%",0.0
1,1,2005-01-05,978.39,978.39,978.39,978.39,0,"-1,77%",-0.017710309475660324
2,2,2005-01-06,962.94,962.94,962.94,962.94,0,"-1,58%",-0.01579124853014946
3,3,2005-01-07,962.6,962.6,962.6,962.6,0,"-0,04%",-0.00035308534279465675
4,4,2005-01-10,954.51,954.51,954.51,954.51,0,"-0,84%",-0.00840432196855545
5,5,2005-01-11,948.01,948.01,948.01,948.01,0,"-0,68%",-0.006809776648879051
6,6,2005-01-12,936.62,936.62,936.62,936.62,0,"-1,20%",-0.012014641426503658
7,7,2005-01-13,951.03,951.03,951.03,951.03,0,"1,54%",0.015385108068585396
8,8,2005-01-14,948.35,948.35,948.35,948.35,0,"-0,28%",-0.002817997243255377
9,9,2005-01-17,946.95,946.95,946.95,946.95,0,"-0,15%",-0.0014762482605874538
10,10,2005-01-18,957.27,957.27,957.27,957.27,0,"1,09%",0.010898146778345108
11,11,2005-01-19,974.08,974.08,974.08,974.08,0,"1,76%",0.017560353502631187
12,12,2005-01-20,947.05,947.05,947.05,947.05,0,"-2,77%",-0.027749260887503624
13,13,2005-01-21,937.13,937.13,937.13,937.13,0,"-1,05%",-0.010474631562829018
14,14,2005-01-24,948.08,948.08,948.08,948.08,0,"1,17%",0.011684611439704895
15,15,2005-01-26,944.31,944.31,944.31,944.31,0,"-0,40%",-0.003976457752287388
16,16,2005-01-27,939.73,939.73,939.73,939.73,0,"-0,49%",-0.004850102122873068
17,17,2005-01-28,938.14,938.14,938.14,938.14,0,"-0,17%",-0.0016919753979891539
18,18,2005-01-31,963.55,963.55,963.55,963.55,0,"2,71%",0.02708550915122032
19,19,2005-02-01,971.4,971.4,971.4,971.4,0,"0,81%",0.00814695656299591
20,20,2005-02-02,1000.46,1000.46,1000.46,1000.46,0,"2,99%",0.02991558611392975
21,21,2005-02-03,1045.7,1045.7,1045.7,1045.7,0,"4,52%",0.04521919786930084
22,22,2005-02-04,1099.17,1099.17,1099.17,1099.17,0,"5,11%",0.05113321170210838
23,23,2005-02-09,1094.91,1094.91,1094.91,1094.91,0,"-0,39%",-0.003875651629641652
24,24,2005-02-10,1084.45,1084.45,1084.45,1084.45,0,"-0,96%",-0.009553296491503716
25,25,2005-02-11,1086.32,1086.32,1086.32,1086.32,0,"0,17%",0.0017243764596059918
26,26,2005-02-14,1116.38,1116.38,1116.38,1116.38,0,"2,77%",0.02767140418291092
27,27,2005-02-15,1137.55,1137.55,1137.55,1137.55,0,"1,90%",0.018963076174259186
28,28,2005-02-16,1113.05,1113.05,1113.05,1113.05,0,"-2,15%",-0.02153751440346241
29,29,2005-02-17,1127.04,1127.04,1127.04,1127.04,0,"1,26%",0.012569067068397999
30,30,2005-02-18,1109.91,1109.91,1109.91,1109.91,0,"-1,52%",-0.015199105255305767
31,31,2005-02-21,1085.6,1085.6,1085.6,1085.6,0,"-2,19%",-0.021902676671743393
32,32,2005-02-22,1096.0,1096.0,1096.0,1096.0,0,"0,96%",0.009579955600202084
33,33,2005-02-23,1092.62,1092.62,1092.62,1092.62,0,"-0,31%",-0.003083941526710987
34,34,2005-02-24,1141.57,1141.57,1141.57,1141.57,0,"4,48%",0.04480057209730148
35,35,2005-02-25,1137.76,1137.76,1137.76,1137.76,0,"-0,33%",-0.0033375087659806013
36,36,2005-02-28,1118.77,1118.77,1118.77,1118.77,0,"-1,67%",-0.0166906900703907
37,37,2005-03-01,1128.12,1128.12,1128.12,1128.12,0,"0,84%",0.008357392624020576
38,38,2005-03-02,1132.34,1132.34,1132.34,1132.34,0,"0,37%",0.003740736749023199
39,39,2005-03-03,1162.93,1162.93,1162.93,1162.93,0,"2,70%",0.027014853432774544
40,40,2005-03-04,1186.27,1186.27,1186.27,1186.27,0,"2,01%",0.020069995895028114
41,41,2005-03-07,1204.41,1204.41,1204.41,1204.41,0,"1,53%",0.015291628427803516
42,42,2005-03-08,1191.15,1191.15,1191.15,1191.15,0,"-1,10%",-0.011009539477527142
43,43,2005-03-09,1171.33,1171.33,1171.33,1171.33,0,"-1,66%",-0.016639381647109985
44,44,2005-03-10,1170.68,1170.68,1170.68,1170.68,0,"-0,06%",-0.0005549247725866735
45,45,2005-03-11,1162.7,1162.7,1162.7,1162.7,0,"-0,68%",-0.006816551089286804
46,46,2005-03-14,1150.15,1150.15,1150.15,1150.15,0,"-1,08%",-0.010793842375278473
47,47,2005-03-15,1138.52,1138.52,1138.52,1138.52,0,"-1,01%",-0.010111724957823753
48,48,2005-03-16,1150.73,1150.73,1150.73,1150.73,0,"1,07%",0.010724449530243874
49,49,2005-03-17,1159.45,1159.45,1159.45,1159.45,0,"0,76%",0.007577798329293728
50,50,2005-03-18,1136.22,1136.22,1136.22,1136.22,0,"-2,00%",-0.020035361871123314
51,51,2005-03-21,1105.56,1105.56,1105.56,1105.56,0,"-2,70%",-0.026984211057424545
